4,200,MK06 522J Y7XB 5BHM U83,571.0,USD,2.21
34,179,GI17 XKNU ILM6 H0GD WXL9 D1Z,458.0,USD,2.97
34,150,FR45 8920 9737 59UV ACPS NHNC F02,189.0,USD,2.02
4,146,GE33 TV18 4393 6421 1213 33,385.0,USD,2.12
27,197,BH08 TOBO XJPL LEWH EVBG 1E,571.0,USD,2.7
27,184,PK97 WFRO W1WC GGRE NZFK XITR,916.0,USD,2.58
36,105,GL08 3323 0109 4852 25,746.0,USD,2.29
21,145,IS03 4324 7075 7269 8455 4218 97,61.0,USD,2.81
36,194,LU06 958Y EN7Y 6PYM QMBW,580.0,USD,2.85
6,172,EE03 8740 0630 2236 1722,765584.7397147304,USD,2.514
