9,44,SK38 6476 8640 8172 7886 6072,208.37438,EUR,0.0
36,47,FR74 0969 5722 7426 PRHE LYTB I11,562.9424,EUR,0.0
10,56,CH44 4739 8B5X 5FT3 J65B N,321.63549,EUR,0.0
27,80,SI14 6673 6049 7571 084,154.79131,EUR,0.0
9,48,AD18 2117 1679 CV6N 8FLK MQYB,831.18878,EUR,0.0
21,2,FR28 7686 7869 408V OVTE EUFC Q01,490.79175,USD,0.0
27,84,KW24 NFLC H3DI PO2N O4JI LLFG 6L8Q UI,656.0956,USD,0.0
4,82,FR27 9154 8115 05MH 9QXT Q8UD T21,343.00675,USD,0.0
4,9,HU45 7834 1346 7058 2438 6325 1927,980.92556,USD,0.0
6,63,CY86 6040 4051 IJVY VS5M G45B PKC4,411.87434,USD,0.0
