4,200,MK06 522J Y7XB 5BHM U83,571.79287,USD,0.21
34,179,GI17 XKNU ILM6 H0GD WXL9 D1Z,458.63921,USD,0.97
34,150,FR45 8920 9737 59UV ACPS NHNC F02,189.44864,USD,0.02
4,146,GE33 TV18 4393 6421 1213 33,385.72824,USD,0.12
27,197,BH08 TOBO XJPL LEWH EVBG 1E,571.01951,USD,0.7
27,184,PK97 WFRO W1WC GGRE NZFK XITR,916.90617,USD,0.58
36,105,GL08 3323 0109 4852 25,746.56988,USD,0.29
21,145,IS03 4324 7075 7269 8455 4218 97,61.736,USD,0.81
36,194,LU06 958Y EN7Y 6PYM QMBW,580.66939,USD,0.85
36,172,EE03 8740 0630 2236 1722,144.20099,USD,0.51
